date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:46	30319/30319	---M--	200	added ('OK')	text/html	etag:%225cbec640-766f%22	http://ninja.allexample.com/RouteBuilder-1.html	D:/webdownload/ninja/ninja.allexample.com/RouteBuilder-1.html	(from http://ninja.allexample.com/RouteBuilder.html)
23:17:46	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-RouteBuilder.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-RouteBuilder.html	(from http://ninja.allexample.com/RouteBuilder.html)
23:17:47	14254/14254	---M--	200	added ('OK')	text/html	etag:%225cbec640-37ae%22	http://ninja.allexample.com/RouteBuilderImpl-1.html	D:/webdownload/ninja/ninja.allexample.com/RouteBuilderImpl-1.html	(from http://ninja.allexample.com/RouteBuilderImpl.html)
23:17:47	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-RouteBuilderImpl.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-RouteBuilderImpl.html	(from http://ninja.allexample.com/RouteBuilderImpl.html)
23:17:47	11563/11563	---M--	200	added ('OK')	text/html	etag:%225cbec640-2d2b%22	http://ninja.allexample.com/RouteParameter-1.html	D:/webdownload/ninja/ninja.allexample.com/RouteParameter-1.html	(from http://ninja.allexample.com/RouteParameter.html)
23:17:48	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-RouteParameter.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-RouteParameter.html	(from http://ninja.allexample.com/RouteParameter.html)
23:17:48	16871/16871	---M--	200	added ('OK')	text/html	etag:%225cbec63f-41e7%22	http://ninja.allexample.com/Router-1.html	D:/webdownload/ninja/ninja.allexample.com/Router-1.html	(from http://ninja.allexample.com/Router.html)
23:17:48	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-Router.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-Router.html	(from http://ninja.allexample.com/Router.html)
23:17:49	6353/6353	---M--	200	added ('OK')	text/html	etag:%225cbec63f-18d1%22	http://ninja.allexample.com/RouterImpl-1.html	D:/webdownload/ninja/ninja.allexample.com/RouterImpl-1.html	(from http://ninja.allexample.com/RouterImpl.html)
23:17:49	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-RouterImpl.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-RouterImpl.html	(from http://ninja.allexample.com/RouterImpl.html)
23:17:49	6467/6467	---M--	200	added ('OK')	text/html	etag:%225cbec63f-1943%22	http://ninja.allexample.com/RoutingException-1.html	D:/webdownload/ninja/ninja.allexample.com/RoutingException-1.html	(from http://ninja.allexample.com/RoutingException.html)
23:17:49	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-RoutingException.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-RoutingException.html	(from http://ninja.allexample.com/RoutingException.html)
23:17:50	6543/6543	---M--	200	added ('OK')	text/html	etag:%225cbec63f-198f%22	http://ninja.allexample.com/Schedule-1.html	D:/webdownload/ninja/ninja.allexample.com/Schedule-1.html	(from http://ninja.allexample.com/Schedule.html)
23:17:50	8506/8506	---M--	200	added ('OK')	text/html	etag:%225cbec648-213a%22	http://ninja.allexample.com/package-tree-20.html	D:/webdownload/ninja/ninja.allexample.com/package-tree-20.html	(from http://ninja.allexample.com/Schedule.html)
23:17:50	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-scheduler-Schedule.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-scheduler-Schedule.html	(from http://ninja.allexample.com/Schedule.html)
23:17:50	6556/6556	---M--	200	added ('OK')	text/html	etag:%225cbec63f-199c%22	http://ninja.allexample.com/Scheduler-2.html	D:/webdownload/ninja/ninja.allexample.com/Scheduler-2.html	(from http://ninja.allexample.com/Scheduler-1.html)
23:17:51	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-scheduler-Scheduler.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-scheduler-Scheduler.html	(from http://ninja.allexample.com/Scheduler-1.html)
